Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
"Cloudwear, Inc.",cloudwear.com,,Disrupt NY 2015,Finalist,Operating,,,,,,,$36.5M
Cocodot,cocodot.com,$6.7M,TC50 2009,Contestant,Closed,,,,,,,$14.2M
Codeanywhere,codeanywhere.net,$848K,Disrupt NYC 2014,Audience choice,Operating,,,,,,,$500K
CodeGuard,codeguard.com,$2M,Disrupt NYC 2011,Audience choice,Operating,,,,,,,$191.5K
Cognitive Code,cognitivecode.com,$1.3M,TC40 2007,Contestant,Operating,,,,,,,$44.7M
Cohero Health,coherohealth.com,$2M,Disrupt SF 2015,Contestant,Operating,,,,,,,$566.1K
Compass Labs,compasslabs.com,$12M,Disrupt NYC 2010,Contestant,Closed,,,,,,,$6.3M
Connective Logic,connectivelogic.co.uk,,TC50 2008,Contestant,Operating,,,,,,,$24.2M
ContainerShip,containership.io,$2.6M,Disrupt NY 2015,Contestant,Operating,,,,,,,$10.7M
CoroNet,coro.net,,Disrupt NY 2015,Contestant,Operating,,,,,,,$22M
CosmEthics,cosmethics.com,$411.5K,Disrupt EU 2014,Contestant,Operating,,,,,,,$1.1M
Cosmic,cosmiccart.com,,Disrupt NYC 2014,Contestant,Acquired,,,,,,,$3.2M
CPUsage,cpusage.com,$925K,Disrupt SF 2013,Contestant,Closed,,,,,,,$195K
Crate.io,crate.io,$8.1M,Disrupt EU 2014,Winner,Operating,,,,,,,$14.1M
Credit Sesame,creditsesame.com,$35.4M,Disrupt SF 2010,Contestant,Operating,,,,,,,$50K
Crowd Fusion,crowdfusion.com,$3M,TC50 2009,Contestant,Operating,,,,,,,$745K
CrowdFlower Inc.,crowdflower.com,$38M,TC50 2009,Contestant,Operating,,,,,,,$457K
CrowdSpirit,crowdspirit.com,,TC40 2007,Contestant,Closed,,,,,,,$355K
Cubic Telecom,cubictelecom.com,$37.1M,TC40 2007,Contestant,Operating,,,,,,,$696.3K
CUJO,getcujo.com,,Disrupt NY 2016,Contestant,Operating,,,,,,,$122.4M
Curiator,curiator.com,,Disrupt SF 2013,Contestant,Acquired,,,,,,,$421.6K
